file_name,url,file_size,modification_date,author,subject,keywords,creation_date,producer,number_of_pages,version,source
FoF%20Addendum%20Engagement%20Report%20042518.pdf,http://www.slcdocs.com/ced/FoF%20Addendum%20Engagement%20Report%20042518.pdf,3.1MB,2018-04-25 13:40:18-06:00,,,,2018-04-25 13:38:35-06:00,Acrobat Pro DC 18.11.20038,50,%PDF-1.6,https://www.slc.gov/feedback/
Microsoft Word - Engagement Overview.docx,http://www.slcdocs.com/parks/Taufer%20&%20Richmond%20Park%20Engagement%20Report%2001-2020.pdf,5.1MB,2020-01-16 14:05:01-07:00,,,,2020-01-16 14:05:01-07:00,Acrobat Pro DC 19.21.20061,69,%PDF-1.6,https://www.slc.gov/feedback/
Affordable%20Housing%20Report.pdf,http://www.slcdocs.com/Planning/Projects/2019/affordable%20housing/Affordable%20Housing%20Report.pdf,995.5KB,2020-01-22 11:34:24-07:00,,,,2020-01-22 11:34:24-07:00,Acrobat Pro DC 19.21.20061,72,%PDF-1.6,https://www.slc.gov/feedback/
InlandPortSurvey2.pdf,http://www.slcdocs.com/Planning/Planning%20Commission/2018/InlandPortSurvey2.pdf,1.3MB,2018-09-25 15:18:21-06:00,,,,2018-09-25 13:00:39-06:00,,20,%PDF-1.6,https://www.slc.gov/feedback/
InlandPortSurvey1.pdf,http://www.slcdocs.com/Planning/Planning%20Commission/2018/InlandPortSurvey1.pdf,2.5MB,2018-09-12 13:15:45-06:00,,,,2018-09-06 12:00:57-06:00,,106,%PDF-1.6,https://www.slc.gov/feedback/
Wasatch Hollow Park,https://www.slc.gov/parks/wp-content/uploads/sites/17/2022/09/WH-Engagement-Report.pdf,635.6KB,2022-09-16 16:53:46-06:00,"Jimenez-Garcia, Minerva",Engagement Report 2022,,2022-09-16 16:53:46-06:00,Microsoft® Word for Microsoft 365,7,%PDF-1.7,https://www.slc.gov/feedback/
Engagement+Window+%231+Summary+Report.pdf,https://static1.squarespace.com/static/5f2b27930beb4b4833c6f9b9/t/606373925afd8e0d3936a672/1617130416929/Engagement+Window+%231+Summary+Report.pdf,11.5MB,2021-03-30 10:45:39-06:00,,,,2021-03-30 10:45:10-06:00,Adobe PDF Library 15.0,41,%PDF-1.4,https://www.slc.gov/feedback/
2019_Rates_Survey_Results_Comments.pdf,http://www.slcdocs.com/slcgreen/Waste&Recycling/2019_Rates_Survey_Results_Comments.pdf,886.6KB,2020-02-20 11:05:58-07:00,"Nicholas, Sophia",,,2020-02-19 17:14:02-07:00,Adobe PDF Library 20.6.66,23,%PDF-1.6,https://www.slc.gov/feedback/
1700%20South%20Report%20(9-26).pdf,http://www.slcdocs.com/CAN/1700%20South%20Report%20(9-26).pdf,1.3MB,2018-09-26 10:47:28-06:00,,,,2018-09-17 15:00:24-06:00,,25,%PDF-1.6,https://www.slc.gov/feedback/
Typologies-Design-Guide-Feedback-Report-.pdf,http://www.slc.gov/wp-content/uploads/2022/03/Typologies-Design-Guide-Feedback-Report-.pdf,3.0MB,2022-03-23 13:28:25-06:00,,,,2022-03-14 15:28:36-06:00,Adobe PDF Library 16.0.5,8,%PDF-1.7,https://www.slc.gov/feedback/
Spanish_Open Streets and Green Loop Activations Coming to the Granary District,http://www.slc.gov/mayor/wp-content/uploads/sites/51/2024/08/Spanish_Open-Streets-and-Green-Loop-Activations-Coming-to-the-Granary-District.pdf,103.0KB,2024-08-19 20:33:25+00:00,"Detrick, Ashley",,,2024-08-19 20:33:25+00:00,macOS Version 14.6.1 (Build 23G93) Quartz PDFContext,2,%PDF-1.3,https://www.slc.gov/blog/2024/08/19/open-streets-and-green-loop-activations-coming-to-the-granary-district/
spanish-Design-Plan-for-City-Creek-Daylighting.FOR_IMMEDIATE_RELEASE-Spanish.pdf,http://www.slc.gov/mayor/wp-content/uploads/sites/51/2023/10/spanish-Design-Plan-for-City-Creek-Daylighting.FOR_IMMEDIATE_RELEASE-Spanish.pdf,136.6KB,2023-10-17 16:20:27+00:00,,,,2023-10-17 16:20:27+00:00,macOS Version 12.4 (Build 21F79) Quartz PDFContext,2,%PDF-1.3,https://www.slc.gov/blog/2023/10/17/design-plan-for-city-creek-daylighting-to-be-celebrated-alongside-folsom-trails-new-water-themed-mural-by-local-artists/
Media-Release-Salt-Lake-City-Sugar-House-Open-House-Spanish.pdf,http://www.slc.gov/mayor/wp-content/uploads/sites/51/2024/02/Media-Release-Salt-Lake-City-Sugar-House-Open-House-Spanish.pdf,28.8KB,2024-02-27 18:24:48+00:00,,,,2024-02-27 18:24:48+00:00,macOS Version 12.4 (Build 21F79) Quartz PDFContext,1,%PDF-1.3,https://www.slc.gov/blog/2024/02/27/salt-lake-city-invites-the-public-to-2100-s-construction-open-house/
Spanish_ Salt Lake City becomes the first Certified Welcoming city in Utah,http://www.slc.gov/mayor/wp-content/uploads/sites/51/2024/09/Spanish_-Salt-Lake-City-becomes-the-first-Certified-Welcoming-city-in-Utah.pdf,105.3KB,2024-09-16 20:55:43+00:00,"Detrick, Ashley",,,2024-09-16 20:55:43+00:00,macOS Version 14.6.1 (Build 23G93) Quartz PDFContext,2,%PDF-1.3,https://www.slc.gov/blog/2024/09/16/salt-lake-city-becomes-the-first-certified-welcoming-city-in-utah/
Salt Lake City Transit Master Plan - Executive Summary - DRAFT,http://www.slcdocs.com/ced/TMPExecSumm.pdf,12.8MB,2016-10-24 16:50:30-06:00,,,,2016-10-14 08:33:55-07:00,Adobe PDF Library 15.0,26,%PDF-1.6,https://www.slc.gov/blog/2017/05/31/mayor-biskupski-appoints-sen-jim-dabakis-to-uta-board-of-trustees/
